TIC,period,period_err,t0,t0_err,morph,pos1_2g,pos2_2g,width1_2g,width2_2g,depth1_2g,depth2_2g,pos1_pf,pos2_pf,width1_pf,width2_pf,depth1_pf,depth2_pf,tsne_x,tsne_y,ra,dec,tmag,glon,glat,teff,logg,abun
3034524,0.3574713100273061,1.2874747485180915e-05,1816.367295900105,0.000769310736814,0.5558276,0.0018225568625042,nan,0.2023680421672722,nan,5.531496255171875,nan,1.004566282190517,nan,0.1154411324318716,nan,3.623644712551709,nan,6.240191,-41.595974,82.1419904825039,33.3060492184282,16.5078,174.354852678339,-0.730177445115472,7421.0,4.83674,None
3311888,4.0010397995656,0.0008509874402315,1817.7735180159875,0.0089577879443822,0.7202372,0.0005670040189582,0.5059308852193756,0.2579961868376547,0.2644633691864147,0.4161971411489016,0.3679152199834741,1.0028123540183864,0.5039900738843274,0.1204161741767488,0.1177283771563818,0.2209079721158738,0.1728229847199566,57.281857,18.437296,82.4276356822394,35.3750163093305,6.8911,172.761274298719,0.610294636965929,None,None,None
3815360,19.581046872350843,8.137893122750484e-05,1378.712210992087,3.242719806549076,0.060286984,0.7740915157641266,0.2653408528836726,0.0121249992976979,0.010975506342388,0.0089976202163375,0.0032783104125894,0.9998126483597676,0.7695167667580813,nan,nan,nan,nan,-64.45833,-11.469869,10.1958326792792,-11.3670272834295,8.5574,113.393535690451,-74.0411318478643,5997.0,None,None
3816260,13.127870896995152,0.0002084017413057,1390.527157289905,0.0007244124312819,0.12151632,0.999996160054959,0.7895467803057965,0.0251151495690799,0.0287621309606909,0.238862672096033,0.1916859820479297,1.0000530181644978,0.7895114057820769,0.0171370597543379,0.0204191030472448,0.2238070794008431,0.1803454686415202,-67.60451,4.8469677,10.1350666586473,-6.48087968723829,10.0949,115.292333587524,-69.1908245917188,6353.0,3.90294,None
3921749,5.611221217104586,4.689889756104293e-05,1388.6756234981915,0.005251391017282,0.17541513,0.999939568992386,0.4999999315525137,0.0277745475076949,0.0304421248765726,0.3402704382037815,0.2030500586679217,0.9990038503924836,0.4992594633053203,0.020237535468083,0.0204594459078547,0.3036671540523775,0.1829755017223396,-58.638332,32.06561,11.8333176269745,-6.44263550748636,10.8462,120.047276881449,-69.2913899496751,4007.0,4.38104,None
4164713,0.2747867990972933,5.873431168368359e-06,1842.9883833990511,0.0002849694124051,0.83209443,nan,nan,nan,nan,nan,nan,1.000430132893759,0.4988297494633102,0.1789814962238388,0.1682872133849877,0.0687293653195441,0.0478402948105899,65.38132,-11.390187,114.625919,33.711681,7.491,185.838781,23.83143,6530.0,None,None
4206238,14.974107488702058,0.0006957265065903,1483.13359550703,0.019576028351139,0.26734293,0.001126980409937,0.5007571924567027,0.0531824705477609,0.1247801248940047,0.0636539428053195,0.0069771656722874,0.999786488794085,0.503359774678633,0.0413427099384678,0.0983723203261913,0.0579397533911603,0.0090101176638938,-28.111147,-13.370079,80.8792100618542,-1.0732499270254,9.89635,203.503042385065,-19.9739962088363,6503.0,3.82277,None
4247738,1.3022556514101866,3.190762713023432e-05,1842.5637994872425,0.0003204511713192,0.34746748,0.9988386002132144,0.4985527138100473,0.06206051546927,0.0587483987840702,0.3030813804804058,0.2696888316416663,0.4992786311981959,0.999028540448367,0.0408017372805271,0.0419673448351863,0.2830391661803895,0.2374730502535436,-22.365921,-4.0125456,115.328522412644,31.2428224974963,14.5408,188.603379511583,23.62789000127,3411.0,4.68867,None
4254645,4.038794769212081,0.0333668510124232,1468.2638479768202,0.1357226781747158,0.5351174,0.9955256902520254,nan,0.1855708680614583,nan,0.1893697234909427,nan,nan,nan,nan,nan,nan,nan,8.095354,-3.4958174,81.1192403121014,-2.39713874051705,8.0836,204.865734041458,-20.3915764228133,None,None,None
4299830,0.5341186812458436,0.0002285638887827,1842.819365900493,0.0006246013324471,0.4265544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.434901,-53.021133,115.974734450658,30.7477429563773,11.228,189.308268618347,23.9967741506661,5965.54,4.03377,-0.586425
4629065,11.794327019999994,0.0008988541257028,1420.376120985846,0.0014824962293005,0.27944466,0.0003534239856703,0.4998520651319185,0.0415050187055828,0.041837264596937,0.2490419340879415,0.2421428400832468,1.000227127880376,0.4998499644603307,0.0279097592871185,0.0297178703058794,0.2266425501495323,0.2187849321735175,-53.937244,37.698284,37.8741812835484,-9.05942744980459,10.8532,180.247267368112,-60.2552774956844,6377.71,3.70125,-0.52896
4723156,9.490105417353403,2.808241592688887e-05,1409.1557394158112,0.0019967677822023,0.026299149,0.999723453856161,0.4441985735390082,0.0133068673616267,0.0082014283637098,0.3855426588414803,0.3779499408532358,0.9994828808418518,0.4439798047488256,0.0094717181390848,0.0058707610857441,0.3425842719518417,0.3218297509840571,-67.264305,-4.259548,39.4423514172848,-7.09679242440794,12.4886,179.36171425901,-57.7946146802021,3057.0,4.96416,None
4742129,2.072016280766349,3.4469785115121e-06,1410.9799393233654,0.0011429355331529,0.37543902,0.9999041622800482,0.4999999294317817,0.0666582551881842,0.0616703581285019,0.4929084647991516,0.3728447409254237,0.9993425179635,0.499427618813313,0.0452094757488551,0.044930251479293,0.4482425476935683,0.3314545148836751,-42.199078,39.62519,39.7864663248843,-10.4628981788121,11.2057,184.793285981708,-59.6677876332567,4242.0,4.28788,None
4957914,1.2463608333411569,3.141268173512124e-05,1871.1778994690528,0.0005892404606129,0.50254405,0.0004075827611885,nan,0.049760966220024,nan,0.1141447700167365,nan,1.000950172319586,nan,0.0281478547299874,nan,0.0415668458499425,nan,-10.066684,-6.391481,148.712261002676,34.5384254892935,13.5952,190.652951063074,51.6817774111338,3695.0,4.68104,None
4971740,0.8677956885428213,0.0002207641171348,1871.100901078735,0.003607402231637,0.36022115,0.0069302371090829,nan,0.2156811397640272,nan,0.0013283068478081,nan,1.010819854879827,nan,0.1394633667028398,nan,0.0012276850862229,nan,10.692123,-60.232567,148.865778082816,35.0024831670742,9.8666,189.906746506981,51.8152821347814,5592.0,4.17998,None
