TIC,period,period_err,t0,t0_err,morph
38462522,1.3570882715642754,0.0001475904532204,1598.750079757914,0.1267035905441389,0.36279646
408512382,4.031711828579192,0.0001780710183805,1572.6713533967725,0.0008320934623498,0.27190405
231093356,3.470340383832406,2.209589008650425e-06,1599.2064826362662,3.688137144308712e-05,0.40477785
132298139,35.968160965827515,0.003776999155832,1552.2875267861623,0.0039964586669611,0.106550395
380127556,0.4510886848061569,3.402228510973604e-06,1571.1405360404378,0.0011350965737619,0.9470197
32000625,0.7017512268293299,4.41261365224932e-07,1325.8088585797968,0.0001119845439916,0.53530145
162305237,0.337185949960867,1.2961783398823812e-06,1570.940232969003,0.0520161419985925,0.8817127
345899523,6.718562117599665,0.0002766355446306,1576.285327568734,0.0002186709557463,0.54767054
165456443,4.313965115169801,0.0002042163054518,1571.9175371334936,0.0013549437105666,0.30092308
278861826,1.0676262112698214,3.482163946078032e-07,1544.6352615939734,7.253608055179939e-05,0.53307956
229811538,11.540219480367355,0.0108522892365545,1578.395102478219,0.0030847268723851,0.1821287
458808688,1.3509633786187016,0.0038855496602572,1571.4099341550072,0.0455115479576306,0.54165685
392113518,4.363617764733266,0.0005338395056657,1571.6474223270163,0.0039630868824095,0.39251506
467062613,1.516280950254764,8.893252058794765e-05,1571.2276993017038,0.0092651530248986,0.5652427
321947833,5.421296516106033,0.009484246491989,1573.8433073695912,0.1042901208079456,0.60033333
294191640,1.5939127400248752,1.2865393472782929e-06,1544.9342909703514,0.0002901695256696,0.51088905
350030939,1.2209605956833631,7.758743030272797e-07,1411.9302937031696,2.1668507315553143e-05,0.58523667
181150051,1.0401226763942444,1.962267112110005e-05,1571.640627249986,0.0149604117286799,0.51286006
415783540,0.4337531756824893,6.490588040020118e-05,1570.958884847342,0.0007378183861711,0.56183803
167304040,5.819132893915094,1.1266395723907864e-05,1549.1998285548052,0.0001255165923339,0.34601575
137136194,3.1306539273486016,4.7413784514116486e-05,1571.562532594243,0.0054079370368071,0.40452367
141975903,0.2577021612160738,2.7967491211811083e-08,1411.009109431718,0.0001692312366685,0.7581094
124205037,0.3327344881208199,8.336854083745848e-07,1570.9860267987883,0.0017712855949412,0.7941434
307488184,10.066884225792146,1.138117950638673e-05,1447.4301008902453,0.0001495413100656,0.14187817
82580956,1.894267375131233,2.1886647991742336e-06,1571.6688970261778,0.0010637468008098,0.46599203
271701447,1.638820479277801,3.8007956510988095e-06,1570.9955229609575,0.0005199437471219,0.52506095
141622065,2.9279902292436115,5.4915813592959495e-05,1330.6952447260562,0.0033073113038426,0.5768359
398763011,9.318909364527418,0.0010719710435509,1574.6226160040812,0.0018165853325626,0.45211482
308851582,4.91242691402114,1.728406123113757e-06,1547.610245951078,0.0001469111819005,0.19258374
260162199,0.2680681974156964,1.3428407330540182e-07,1325.3629908975963,0.0005427988996871,0.7538526
25078924,0.904382677425188,1.096953862012029e-05,1325.9614258098104,0.0103334378734416,0.5555985
124604724,0.1169201760046225,1.2364966037181624e-08,1570.8752329670797,0.0009864129275265,0.69683707
381948745,1.5957514104352202,2.073608103225766e-06,1598.881540111154,7.808896612004901e-05,0.5346342
181159386,5.63163494825107,1.7654913365916514e-05,1574.6251231964702,0.0405019425079444,0.44011807
