,TIC,tsne_x,tsne_y
126,165456443,-15.320272,-0.8936034
127,278861826,18.583263,54.22262
128,229811538,-40.001823,-15.62406
129,458808688,8.946275,-52.648857
130,392113518,-10.271381,-26.44629
131,467062613,11.805101,-5.249802
132,321947833,14.193345,-3.5178905
133,294191640,-16.643715,5.961344
134,350030939,27.473381,44.725876
135,181150051,-8.508885,19.2484
136,415783540,10.479882,-44.286743
137,167304040,-35.817585,21.568968
138,137136194,-5.5501137,-34.550903
139,141975903,60.40295,8.598802
140,124205037,67.69309,11.449215
141,307488184,-65.66701,6.069789
142,82580956,-23.059261,-2.8679757
143,271701447,2.2792566,5.8861823
144,141622065,25.563208,49.667023
145,398763011,-21.797983,-1.5792499
146,308851582,-55.83981,14.098832
147,260162199,58.669163,4.0615277
148,25078924,-6.9860587,19.19868
149,124604724,56.233723,19.800028
150,381948745,0.16914642,34.487865
151,181159386,-18.69036,13.565507
152,306130391,-25.675585,2.180371
153,220474209,-20.673885,38.42677
154,141766191,65.13229,-23.065884
155,279615979,28.41478,-31.144243
156,176910080,-12.204503,20.389624
157,102764828,22.783905,-3.3353987
158,468162834,9.071407,-45.74864
159,142105466,75.73411,-17.420792
160,141127435,56.570744,-8.729906
161,57652994,-16.936666,-11.240214
162,266845051,60.01788,-23.529133
163,462267926,-26.23551,24.217405
164,55524055,-47.885628,24.578524
165,307433122,-68.98771,-6.311819
166,452500843,11.669645,-50.446804
167,349790953,-10.788574,3.1455553
168,150442264,24.970472,2.3037834
169,32449963,-64.75895,9.821975
170,92902951,8.9071045,34.81723
171,467167691,56.65848,-22.796923
172,415873588,-29.848656,51.249275
173,288027491,-62.10022,-2.1475148
174,141685465,-55.89425,15.578686
175,178859380,65.26326,13.04552
176,29777922,52.755478,2.577466
177,55404385,-45.25586,26.412022
178,124282575,-25.549648,2.9244974
179,303441920,52.09263,-18.118961
180,163648025,8.843817,-2.6929445
181,355152971,-22.661,38.19516
182,271596290,14.191753,12.055874
183,459809633,20.599495,-28.91866
184,308184924,-41.595615,22.48194
185,167654878,59.76132,-24.989399
186,1630690,62.494057,-25.462141
187,437322147,12.446752,-63.049057
188,124095230,-50.259666,-6.4943843
189,452631268,-69.711525,-4.742173
190,370101325,76.65839,-17.419857
191,350480660,-41.90466,18.268087
192,300871545,-55.434216,13.565015
193,219699532,10.493491,25.74689
194,309658221,-55.592957,35.91076
195,167692429,-53.148296,9.214919
196,459293335,7.3500648,-48.47918
197,458859364,25.833355,45.057396
198,462785373,-23.52195,-31.161154
199,446832107,-54.593502,13.316916
200,433277449,-10.330189,-24.22112
201,298700310,45.916363,-1.9784038
202,279089927,69.5934,12.190865
203,382517745,-67.817856,-0.20554617
204,453097744,50.331314,1.69319
205,402447670,41.829582,-25.107058
206,458474559,3.3314986,-35.77378
207,348897766,74.2116,-6.8569117
208,140659980,-63.35326,0.31119382
209,23328912,2.0807536,-10.533254
210,165458777,68.58794,12.019632
211,29778064,18.826237,24.993553
212,410654298,-69.79923,-1.9848635
213,349308842,-27.730263,18.097738
214,303811839,-49.69619,-17.2341
215,219912046,-23.572107,32.921547
216,302995864,22.894903,41.412113
217,5868998,-9.456022,0.6980192
218,370101492,42.413364,2.5523882
219,422327572,53.716248,-8.6954565
220,97908039,48.650608,-8.459636
221,341193555,-52.922363,-9.498158
222,260536927,-37.880386,-12.1238985
223,317642317,57.117268,16.411802
224,278956474,-39.387745,16.18049
225,260132330,-67.08936,-0.15876766
226,55497281,-53.847546,8.6640835
227,401227592,3.1553931,-41.01203
228,386166904,-45.905396,12.2567005
229,425064757,-21.337357,12.665152
230,177077475,-65.1861,-12.96109
231,238196979,-11.705808,-5.8504586
232,287328866,-24.144987,0.113890864
233,149573659,-56.819725,13.19393
234,399144800,-24.748146,-29.60387
235,162585265,24.03959,32.77889
236,22457438,57.626022,17.656973
237,98628827,55.435867,-29.420197
238,158713903,-35.698666,21.62121
239,321455348,-32.239277,-1.0798335
240,450637853,53.516205,2.2530901
241,142109430,55.388927,0.8345698
242,231075361,66.30578,-23.78287
243,280667311,42.257923,-26.044569
244,167890109,43.161594,14.924096
245,319936228,-46.158417,20.970474
246,30034081,-26.537018,28.347551
247,309257814,-3.255083,-34.428116
248,308457026,63.340046,-27.179697
249,399423563,32.898094,13.881102
250,147026702,1.4521097,-45.287895
251,158673914,63.79588,8.358693
252,318825030,-55.827644,36.342583
253,347809861,-1.3395026,40.888367
254,296449358,57.720036,-22.524664
255,349154435,-53.189842,4.8760047
256,260128333,-56.11621,-3.163312
257,282051803,-32.394604,28.330614
258,363149298,25.115143,41.79363
259,382067804,-64.85312,5.426654
260,399253092,-48.220703,32.760067
261,15445546,2.9309585,-2.5543838
262,452734608,3.214718,35.763992
263,298079609,41.706062,-22.28516
264,382028425,-21.636467,5.023454
265,279569707,-36.330044,26.89996
266,308451526,0.14805986,8.491657
267,231810776,56.913815,17.597363
268,147214032,-30.73005,51.22127
269,443494454,-18.255524,3.0465999
270,350622185,25.50804,45.302223
271,408552008,-39.594326,41.33611
272,437297176,-2.8513834,23.237509
273,21827849,-1.4869543,-39.440163
274,382512330,58.1811,-36.28882
275,141333573,-25.690277,2.070312
276,131625230,5.4435596,-48.55484
277,220359766,-26.722008,28.217777
278,260131665,38.972275,27.879066
279,278683641,-42.972595,22.176943
280,309146836,-49.030373,17.039906
281,439519959,1.3893198,40.615036
282,83135408,22.39155,50.598995
283,260502102,-70.54435,2.8611462
284,318512022,-35.432594,13.896317
285,299702740,-9.503896,27.026846
286,390554357,-13.47301,28.223034
287,118313102,-59.195435,18.316484
288,248111238,7.906087,-58.23153
289,142262969,-61.41944,-0.07414187
290,388129029,65.21008,-6.539873
291,141914317,71.48564,2.1720831
292,94637805,41.415524,-19.854572
293,167526485,-10.039037,16.713102
294,141809359,-62.763657,-2.827183
295,258314976,-38.608273,47.83592
296,324675819,-12.085409,10.290897
297,350479101,-69.486565,16.39284
298,141268467,-45.509182,46.758503
299,382188882,-47.80874,-11.0051155
300,89787778,41.950077,31.159582
301,358111274,-68.44911,-10.403882
302,248074315,-58.506546,7.8055077
303,178889597,0.18338941,35.726974
304,162585282,-0.01954881,23.591965
305,438942374,4.76579,-15.702613
306,467238286,33.67062,43.409195
307,333127661,-45.098618,15.463645
308,281924357,-55.915318,-16.138489
309,142148228,-13.937343,-5.946278
310,356524567,3.5426788,-27.363607
311,405177882,-56.051666,-3.4526336
312,364392434,45.517418,3.593155
313,286191384,-34.990696,51.472153
314,350443417,-10.8981285,38.610126
315,458199516,-6.359491,-43.226593
316,178723395,-36.220398,15.171302
317,77557473,-18.795835,40.830032
318,322078735,15.580404,7.894103
319,349156098,7.3470416,14.366137
320,22481474,-4.5922947,-24.449936
321,403757320,1.8788387,-59.489407
322,364395234,-9.00936,10.381268
323,99028324,6.241243,-56.84586
324,1630438,62.259163,-24.566788
325,58466459,-47.02747,36.579964
326,167694820,40.659832,5.368183
327,391550834,-13.414941,-19.538769
328,397361078,34.436844,-22.486418
329,219373406,13.22464,32.53016
330,23559851,8.496913,-25.341103
331,271999940,41.612896,14.846748
332,279323859,26.350927,48.87554
333,38423705,43.432438,7.227291
334,158450472,2.3649015,-10.916677
335,443494351,56.365795,5.529956
336,384031569,-69.49805,16.489275
337,376915487,8.8022785,-34.451862
338,269347089,-6.120167,-22.137037
339,102169275,-33.728275,-2.6103516
340,374859582,24.812897,49.025158
341,152147549,59.1536,7.9641485
342,167554898,-33.190506,12.473991
343,349480752,-13.095758,-34.97854
344,349762699,-28.834793,-27.167414
345,32150630,-30.664713,14.807963
346,99028319,6.485196,-57.037678
347,181862539,-0.10062852,22.037579
348,452575636,1.2526934,6.090535
349,402107145,56.065254,10.219081
350,303427297,-32.934547,-22.639
351,131239334,45.63821,-2.8677678
352,81702112,-44.187172,27.208273
353,309402205,52.44453,14.5641985
354,452172479,9.207718,-33.031654
355,452406965,53.03805,16.05315
356,142105299,-63.618156,-13.444462
357,399421408,-21.295328,0.54054475
358,41170667,70.10367,-17.822195
359,272058503,-8.01224,9.945938
360,380117288,28.033112,28.939222
361,307216760,41.146458,-25.112755
362,308991822,-66.345184,7.0238485
363,349484636,49.72503,-2.9151561
