TIC,pos1_2g,pos2_2g,width1_2g,width2_2g,depth1_2g,depth2_2g,pos1_pf,pos2_pf,width1_pf,width2_pf,depth1_pf,depth2_pf
382425148,0.0017070099493911,0.4999972912963943,0.362322560169071,0.2884400478897184,0.1774738000812281,0.1422831581995256,1.0006244365070185,0.5020941164629686,0.1473966940144269,0.171666726665099,0.1076916673292424,0.0673475422262303
389728831,0.0001078747100033,0.5000063006220801,0.2898552781322587,0.2772365900196457,0.2764253034544905,0.2386913431778451,NaN,NaN,NaN,NaN,NaN,NaN
393943031,NaN,NaN,NaN,NaN,NaN,NaN,0.9995901411219136,NaN,0.1483508986675185,NaN,0.0986966882741029,NaN
399577123,NaN,NaN,NaN,NaN,NaN,NaN,0.9976557272759248,NaN,0.099035230755863,NaN,0.0282252357698862,NaN
402130407,0.9980473500223213,0.5034941042692325,0.3275246115370617,0.2654882602140339,0.4493108832956954,0.4377309684608049,0.9923666385438624,NaN,0.0660921349986758,NaN,0.0932586531884211,NaN
402319281,NaN,NaN,NaN,NaN,NaN,NaN,0.5169814901109221,NaN,0.0995789238275652,NaN,0.0203814688838164,NaN
402324760,NaN,NaN,NaN,NaN,NaN,NaN,0.9997526495391464,NaN,0.1085207928942449,NaN,0.0737899623160238,NaN
402339590,0.9977270663430476,NaN,0.1952877203466039,NaN,0.3570610281451744,NaN,0.999891426528098,0.5014721959493694,0.1116198540163522,0.1050589375735289,0.255912328039111,0.1046811195174176
415969184,NaN,NaN,NaN,NaN,NaN,NaN,0.998259569341698,NaN,0.1655727599388378,NaN,0.0928351024783857,NaN
425864141,0.0001529223663188,0.5000496780965963,0.1401764011761198,0.1158409669547423,0.1676804167233085,0.1469255673365829,0.999513459546329,0.4994656965147485,0.085533518995268,0.0842882858632351,0.137557678740513,0.1202281482645581
434097226,NaN,NaN,NaN,NaN,NaN,NaN,0.9997773339761298,0.503629277341268,0.1846579941165065,0.144171834140894,0.2125780598877072,0.1196051951538551
434106760,0.0030556286713761,0.5000007063747927,0.3929752611111964,0.3639460897548095,0.3873633025608809,0.3637344269964282,1.0003430892538996,0.4969264784604347,0.1927818585932929,0.1172255912638194,0.1919253298209473,0.1724288567249225
11487334,NaN,NaN,NaN,NaN,NaN,NaN,0.976840882007089,NaN,0.160191638195696,NaN,0.0461824239516546,NaN
11546041,NaN,NaN,NaN,NaN,NaN,NaN,1.0009644705934624,NaN,0.1623232414941955,NaN,0.0542869371332503,NaN
11598102,0.9985953854948973,0.4999984286759248,0.3230873629175533,0.3013077440282621,0.2778718151454606,0.2699263467311847,0.9997088475555042,0.5001823603967055,0.1071004540146752,0.1099087138048872,0.0911601549680243,0.0825229169843166
29848012,0.0003412129094265,0.5025732160392321,0.342134974340302,0.3353219394082096,0.3650561820956464,0.3608351882791156,0.9991782295926692,0.5020691065683874,0.1360993987804679,0.1670668597708799,0.188055687196789,0.1839738977641424
32268776,0.0058002556909389,0.4999481177079786,0.1714722695831907,0.2172243181347271,0.2226457866780072,0.1273241829060436,0.5474949832827836,NaN,0.0940738721722538,NaN,0.0544508847884461,NaN
32284829,0.4930818681605334,NaN,0.3794278038999846,NaN,0.4150812426025316,NaN,0.999744465801874,0.4950359318332264,0.1429577064803825,0.167131257592262,0.3648423903111595,0.1461733061601113
32551761,0.0022991914518883,0.4996068221129761,0.3112675919372644,0.1412901703051182,0.0504321546101595,0.0427127478556271,1.000411891292987,0.5004265680443515,0.205368828128285,0.2581389303678846,0.0410167539149444,0.0324096258902525
33576348,0.0002053174262691,0.5010675306050075,0.3060390154494243,0.270239250058527,0.235086366859587,0.1159794864548982,1.0002419885816165,0.4997491126697084,0.1563714161774485,0.0745374226445232,0.1492622942249403,0.0341558350487348
49558810,2.020920963632457e-05,0.5000588654548159,0.0246266859559772,0.0244719570657055,0.0795599437600437,0.0782065656022884,0.500017017163207,0.9999755848162608,0.0169914746831381,0.018078369671851,0.0748716717430113,0.0746029197116513
75352949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114500611,NaN,NaN,NaN,NaN,NaN,NaN,0.9977079115422504,NaN,0.1845989582733127,NaN,0.1233969430924375,NaN
123337161,NaN,NaN,NaN,NaN,NaN,NaN,0.9994258020829326,NaN,0.1133724856218918,NaN,0.0354600628970338,NaN
140493525,0.5000004520654429,NaN,0.3858790657382236,NaN,0.3556566853569731,NaN,0.9995773635598978,0.497965563939762,0.1655491278699166,0.1606154439305099,0.2111104164756264,0.1488373444504306
146637697,0.0004944838723585,0.4982368146481082,0.3481263736826198,0.3121824308795388,0.3183927555264951,0.2599406117915773,0.9998028587827568,0.4986019398487266,0.1688042263840107,0.1106256145508524,0.1669993917756055,0.1118176486399892
146712645,0.9999481160243976,NaN,0.0490945410578106,NaN,0.200754110424105,NaN,0.9998275684353218,NaN,0.0333280135191718,NaN,0.1848441612345368,NaN
160196709,0.9966212567710304,0.5072944303548805,0.317712890957201,0.2745302142635891,0.2622243405740113,0.2084954496859665,1.000403941242738,0.5040639639905155,0.1016789138723043,0.124367678294517,0.1074031587032878,0.044790160872059
164720673,NaN,NaN,NaN,NaN,NaN,NaN,0.9971142601159216,0.5067377265571766,0.1703929124028818,0.1136341911847789,0.0636150124527428,0.0477353393415098
164775666,0.9991837932414942,0.5011734480962339,0.2558638349483568,0.2556516563306563,0.491918360054475,0.4437898586227513,0.5001631200702471,NaN,0.0947049673134222,NaN,0.1732874882434854,NaN
212377300,NaN,NaN,NaN,NaN,NaN,NaN,0.97173701301266,0.4858780023627778,0.1386942333802414,0.1773937535433019,0.091919868514798,0.0525423191660568
215258019,2.3409655756149454e-06,0.4994767937931457,0.164282612882976,0.1693208405068992,0.8676461173027089,0.3851430225159205,1.0004533225113947,0.5002467385641184,0.10670545457182,0.1119825278797136,0.7615984207222302,0.3067819374565634
229143092,0.5076034588690287,NaN,0.4044623744193497,NaN,0.0819390769891363,NaN,1.0033034326613697,0.5075528755299539,0.258048340364824,0.2348966939306003,0.0770528877940572,0.0601198847645985
241393039,0.9995266828387901,0.5011870460420511,0.3060069373767128,0.2892546073602153,0.4202669876240451,0.4020678567756545,0.9997571667246372,0.5005529789736812,0.1560381243239444,0.1363462370021657,0.2406483203757967,0.2260958893850424
241578867,0.9981335586557722,0.5030853556871249,0.2964511119959692,0.277141791575362,0.2973912252659665,0.2432677147404428,0.999915633141606,0.5024631848241389,0.1014717696315345,0.0973287323404087,0.1081668539072868,0.0531406692025777
248348545,NaN,NaN,NaN,NaN,NaN,NaN,1.000221323647551,NaN,0.1956330936874647,NaN,0.0591512163864784,NaN
266769521,0.0001796446185814,NaN,0.2619385238057218,NaN,0.4634664587861352,NaN,1.0085983146831272,NaN,0.1297195213422159,NaN,0.142728871742225,NaN
266769522,0.4990369684266467,NaN,0.3867626727620359,NaN,0.2877687687877082,NaN,0.9986569732304929,NaN,0.1360756495893953,NaN,0.1568921388688355,NaN
266816672,0.9953443399442873,0.4999995882279196,0.3149509086874724,0.2731834306527659,0.2222156204558517,0.1672240862386542,0.9937672165903968,NaN,0.0849552422283971,NaN,0.0621236833819249,NaN
268652258,0.0002152296839998,0.4983864082075299,0.3227674216854573,0.2673929889946106,0.2463614324772747,0.1865243131692459,0.9940917772833876,NaN,0.0879396659256797,NaN,0.0671863414675968,NaN
268686000,0.0001935013270577,0.5011136350072215,0.3057120099392217,0.3113921036508654,0.2428268691576733,0.2378431656888296,1.000308244348717,0.5007170086790875,0.103873172782001,0.1317373111083861,0.0893701660639805,0.0836734394364682
268686130,NaN,NaN,NaN,NaN,NaN,NaN,0.9996954391753448,0.4999848110448116,0.1970707586635007,0.102667366773433,0.1102301952693052,0.0651843690954016
268766053,0.5000292192348531,0.9999413839908093,0.0221437963385267,0.0222645130116287,0.021371736388531,0.0209978554209328,0.99985831679405,0.4996431577509568,0.0129071732966481,0.0130542703845863,0.014074972530127,0.0138161886577443
269505148,NaN,NaN,NaN,NaN,NaN,NaN,0.9987167073468856,NaN,0.1394064193425856,NaN,0.1263443353558493,NaN
287174076,0.9984132334935237,0.5063398808736459,0.304951615246591,0.2818016569843798,0.3203201322954894,0.2510947444237457,1.0001454286983549,0.5033186695485923,0.1334951771158347,0.1114310882923627,0.1533425855198641,0.0821496646992338
293619461,NaN,NaN,NaN,NaN,NaN,NaN,0.9989772084854774,0.4967426615175676,0.1600328102341235,0.1001704090608684,0.1060698519692406,0.087602686952787
299199358,0.9995119738075942,0.5070898534749211,0.0922526441383814,0.0715565671972244,0.0910097620856511,0.0072230583031859,0.9997293641951576,NaN,0.0504490425806016,NaN,0.0556437658599193,NaN
