TIC,bjd0,bjd0_uncert,period,period_uncert,morph,morph_dist,ra,dec,tmag,glon,glat,teff,logg,abun
42827646,1469.692596,0.602150932,0.678031181,1.99E-05,0.869164445,0.029990654,97.03085325,-3.133034134,8.78636,213.0706107,-6.61329942,10957,4.34663,NaN
71026173,1438.985403,0.680025426,0.679511415,9.33E-06,0.984065397,0.000507742,65.82161874,-13.04480803,10.4235,208.0303441,-38.69430599,7114,3.82044,NaN
409469477,1491.89964,0.669071522,0.680503629,0.000290986,0.89516179,0.015890488,110.0691,-15.3025,14.102,229.795945,-0.722386,NaN,4.88428,NaN
123014200,1683.484738,0.683838641,0.684559988,4.03E-07,0.897535028,0.000876039,278.993208,46.52461302,9.81359,75.23361536,21.85032869,5415,4.46,NaN
177057901,1765.181852,0.690637432,0.684684944,3.38E-06,0.955871021,0.002627156,356.1339274,46.38015795,7.7168,111.0738909,-14.94548435,11104,3.66811,NaN
316250867,1791.402627,0.00086018,0.685108793,8.07E-07,0.931122962,4.71E-05,51.81585817,54.65446624,11.3211,144.2700069,-1.629403023,7851.29,3.82905,-0.146
373414766,1438.72588,0.684682032,0.685149227,3.56E-05,0.889544965,0.000587311,71.08508292,9.684325926,8.72892,188.1778369,-22.66003104,6136,4.13104,NaN
22079739,1545.345293,0.682185454,0.686142962,0.000127069,0.81295965,0.022118094,148.1477828,-27.11795281,15.2041,260.8760523,20.79951088,3753,4.77978,NaN
241078868,1791.448672,0.340699417,0.686765631,2.31E-05,0.97980326,0.00111857,28.99205164,50.6743761,11.1714,133.2622079,-10.89851679,5213.8,4.62033,0.098
231922417,1438.326815,0.686222608,0.687208496,6.48E-06,0.79278601,0.00022769,92.90640523,-45.91465233,8.7325,253.3924514,-25.75710585,5523,NaN,NaN
459789367,1871.341524,0.000278363,0.687374341,2.06E-06,0.697388906,0.001352231,144.5279976,56.0186914,9.9765,159.2232921,45.13859424,7664,3.96233,NaN
280794372,2062.931033,0.68711068,0.687768608,1.25E-05,0.424400711,0.000140171,359.3982827,-62.62762733,13.805,313.274674,-53.40605414,3285,4.78534,NaN
177258700,1599.363253,0.686080242,0.687964598,2.96E-07,0.980382001,0.000735845,102.2495973,-73.36401989,11.1105,284.3461806,-26.07898645,7138.49,3.8318,-0.523662
168697816,1411.208747,0.349531124,0.692108302,3.43E-06,0.894785778,0.000621863,61.66899207,-34.96656806,10.1278,236.1046265,-47.87101553,6456.9,4.37025,-0.24
113061684,1657.042035,0.701186142,0.693237767,8.37E-06,0.904119881,0.004455547,292.7390262,-32.69908978,6.9747,6.342668609,-22.01419812,6800,3.79625,NaN
336778418,1765.810367,0.688447213,0.693409413,0.00012403,0.889081808,0.006138663,14.24883959,13.15576636,15.6264,125.0236129,-49.69340926,7617,4.56361,NaN
346073081,1765.23158,0.000921876,0.695824752,5.53E-06,0.881904816,0.024978285,357.0779397,57.61931769,13.8922,114.5339918,-4.21950777,3490,4.89547,NaN
126336928,1712.494486,0.697251515,0.698039533,1.46E-06,0.878697838,0.001373401,315.6079453,27.80734438,6.745,73.34203799,-12.30573188,5800,4.05268,NaN
139148071,1325.600051,0.699813543,0.700790291,4.26E-06,0.686951066,0.002564386,344.6331381,-42.28801236,9.813,352.1679771,-62.48735528,6526,3.9431,NaN
32000625,1325.809422,0.700944261,0.701750929,3.51E-07,0.567057785,0.003338868,55.98795971,-71.47904886,11.0532,286.5391364,-39.69439003,4963,NaN,NaN
381857817,1326.046724,0.701459525,0.702439925,1.64E-05,0.608711761,0.001952986,322.4743807,-56.33440651,10.7172,339.3162634,-43.95458427,4506,4.25876,NaN
